Type,MSE,MAE,Correlation
quality,0.005127057898789644,0.04243208467960358,0.9663348197937012
odg,0.00677513936534524,0.04818921163678169,0.968080997467041
size,0.036630284041166306,0.15657906234264374,0.9109494090080261
wetness,0.011140835471451283,0.08802071958780289,0.982810914516449
