Type,MSE,MAE,Correlation
quality,0.014664347283542156,0.11000490933656693,0.9611817002296448
odg,0.009289709851145744,0.0611896738409996,0.9581965208053589
size,0.023378292098641396,0.1240701898932457,0.9089112877845764
wetness,0.021260125562548637,0.12986432015895844,0.9726780652999878
