Type,MSE,MAE,Correlation
quality,0.015460411086678505,0.11252539604902267,0.9600901007652283
odg,0.4953431189060211,0.6280637979507446,-0.531829297542572
size,0.1104193702340126,0.2768806219100952,0.4724369943141937
wetness,0.1536395102739334,0.3080146610736847,0.2764105796813965
