Type,MSE,MAE,Correlation
quality,0.004810337442904711,0.04042242094874382,0.9674109220504761
odg,0.006907136645168066,0.047912392765283585,0.9674823880195618
size,0.024975169450044632,0.12064636498689651,0.9197952151298523
wetness,0.011599089950323105,0.09306393563747406,0.9837350249290466
