Type,MSE,MAE,Correlation
quality,0.0049759154208004475,0.04053673893213272,0.9650909304618835
odg,0.007217394188046455,0.04765895754098892,0.9657849669456482
size,0.021382687613368034,0.10892514884471893,0.9189293384552002
wetness,0.014063979499042034,0.10154792666435242,0.9801618456840515
