Type,MSE,MAE,Correlation
quality,0.012682312168180943,0.10092184692621231,0.965499222278595
odg,0.01028335653245449,0.07012327015399933,0.9606416821479797
size,0.028307171538472176,0.13611042499542236,0.9156302213668823
wetness,0.01215311698615551,0.09063868969678879,0.9793842434883118
