Type,MSE,MAE,Correlation
quality,0.00586603581905365,0.03963662311434746,0.9115471243858337
odg,0.008650489151477814,0.052390482276678085,0.9287785887718201
size,0.0145123191177845,0.08344431966543198,0.9140910506248474
wetness,0.014580730348825455,0.08360379934310913,0.9138118028640747
