Type,MSE,MAE,Correlation
quality,0.008666266687214375,0.04721766337752342,0.8671460151672363
odg,0.01355697587132454,0.061346303671598434,0.892558753490448
size,0.02266417257487774,0.1116771548986435,0.856648325920105
wetness,0.02280745655298233,0.11195141077041626,0.8552049398422241
