Type,MSE,MAE,Correlation
quality,0.0032921829260885715,0.031508319079875946,0.9669565558433533
odg,0.004489918239414692,0.04413285478949547,0.968199610710144
size,0.014207486063241959,0.09487756341695786,0.9513993859291077
wetness,0.012079541571438313,0.09950113296508789,0.9852142930030823
