Type,MSE,MAE,Correlation
quality,0.004226252436637878,0.04034744203090668,0.9543707370758057
odg,0.0072975754737854,0.0628947988152504,0.9554202556610107
size,0.012769900262355804,0.07984910905361176,0.9422521591186523
wetness,0.014266318641602993,0.10479430109262466,0.9850353598594666
