Type,MSE,MAE,Correlation
quality,0.0034784625750035048,0.029461586847901344,0.9664739370346069
odg,0.004242937546223402,0.042941272258758545,0.9696323275566101
size,0.032669249922037125,0.1486605554819107,0.9248383641242981
wetness,0.010791216976940632,0.09504134207963943,0.9866924285888672
