Type,MSE,MAE,Correlation
quality,0.004345199093222618,0.04505990445613861,0.9582657814025879
odg,0.007115200161933899,0.06477376818656921,0.9626113772392273
size,0.017765315249562263,0.10712228715419769,0.9433223605155945
wetness,0.005651464220136404,0.06446385383605957,0.9891107082366943
